layer_idx,layer_name,filter_idx,sample_idx,iterations,learning_rate,tv_reg,l2_reg,activation_mode,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
51,source_localization_stage4.0.wave_feature_conv1,7,0,1000,0.005,0.0,0.0,post_relu_mean,899.6256713867188,-899.6256713867188,50.852027893066406,0.0,0.0,797.1005477905273,0.22909952262380137,-0.821480582516272,47.427635348906115,2.4011504995822905,False
51,source_localization_stage4.0.wave_feature_conv1,7,0,1000,0.005,0.0,0.0,post_relu_mean,879.1021728515625,-879.1021728515625,47.241661071777344,0.0,0.0,716.459056854248,0.21224346170491912,-0.7503466604609452,43.32075628776917,2.225025086402893,False
51,source_localization_stage4.0.wave_feature_conv1,7,0,1000,0.005,0.0,0.0,post_relu_mean,736.33984375,-736.33984375,31.808732986450195,0.0,0.0,477.0156440734863,0.07310252237013498,-0.4910826874752068,28.35232754790467,1.4150759619474411,False
51,source_localization_stage4.0.wave_feature_conv1,7,0,1000,0.005,0.0,0.0,post_relu_mean,658.5591430664062,-658.5591430664062,25.263620376586914,0.0,0.0,397.0543746948242,0.06979292256204526,-0.40901437458269224,23.614168749446264,1.2292746007442474,False
51,source_localization_stage4.0.wave_feature_conv1,7,0,1000,0.01,0.0,0.0,post_relu_mean,1797.726318359375,-1797.726318359375,101.64651489257812,0.0,0.0,1644.4067611694336,0.23049338863547408,-1.7077077994149559,98.59349267367709,2.5457328116893767,False
51,source_localization_stage4.0.wave_feature_conv1,7,0,1000,0.01,0.0,0.0,post_relu_mean,1765.9578857421875,-1765.9578857421875,93.98857879638672,0.0,0.0,1486.4474601745605,0.203663906328769,-1.5262506271519092,88.11703592652809,2.3027341854572296,False
51,source_localization_stage4.0.wave_feature_conv1,7,0,1000,0.01,0.0,0.0,post_relu_mean,1463.36572265625,-1463.36572265625,62.144081115722656,0.0,0.0,976.5264472961426,0.08668187206581839,-1.0290992717475405,59.414790122093116,1.4803627055883408,False
51,source_localization_stage4.0.wave_feature_conv1,7,0,1000,0.01,0.0,0.0,post_relu_mean,1307.068359375,-1307.068359375,48.9754753112793,0.0,0.0,808.4450302124023,0.07945627719531244,-0.8387658838352062,48.42566199008578,1.2835125124454498,False
51,source_localization_stage4.0.wave_feature_conv1,45,0,1000,0.005,0.0,0.0,post_relu_mean,599.5774536132812,-599.5774536132812,38.48676681518555,0.0,0.0,518.3542327880859,0.09634971587637503,-0.551318882680624,31.830103980575846,1.5989099359512329,False
51,source_localization_stage4.0.wave_feature_conv1,45,0,1000,0.005,0.0,0.0,post_relu_mean,584.2723999023438,-584.2723999023438,34.830474853515625,0.0,0.0,461.6462097167969,0.07971442717854381,-0.48136268775371727,27.79114563658215,1.4327047687768937,False
51,source_localization_stage4.0.wave_feature_conv1,45,0,1000,0.005,0.0,0.0,post_relu_mean,500.1694641113281,-500.1694641113281,22.70088005065918,0.0,0.0,318.3176498413086,0.06009236589851306,-0.3318188086766989,19.157427737901553,1.0640116107463837,False
51,source_localization_stage4.0.wave_feature_conv1,45,0,1000,0.005,0.0,0.0,post_relu_mean,449.925048828125,-449.925048828125,18.445331573486328,0.0,0.0,265.8539619445801,0.07385285831581778,-0.27031977283349323,15.606782117516623,0.9431970849633217,False
51,source_localization_stage4.0.wave_feature_conv1,45,0,1000,0.01,0.0,0.0,post_relu_mean,1194.918212890625,-1194.918212890625,75.76651000976562,0.0,0.0,1076.415267944336,0.1015380047915134,-1.1223363325782365,64.79732879613822,1.6595088744163513,False
51,source_localization_stage4.0.wave_feature_conv1,45,0,1000,0.01,0.0,0.0,post_relu_mean,1179.4500732421875,-1179.4500732421875,68.74221801757812,0.0,0.0,972.0445251464844,0.09571885560523913,-1.0185304747212185,58.80415967931333,1.514597591161728,False
51,source_localization_stage4.0.wave_feature_conv1,45,0,1000,0.01,0.0,0.0,post_relu_mean,1002.6199340820312,-1002.6199340820312,45.101768493652344,0.0,0.0,652.7614974975586,0.06468957462860583,-0.6760206299011237,39.0295854395893,1.1083352035284042,False
51,source_localization_stage4.0.wave_feature_conv1,45,0,1000,0.01,0.0,0.0,post_relu_mean,894.8460693359375,-894.8460693359375,36.10515594482422,0.0,0.0,534.1767158508301,0.06624234943772798,-0.5438664489485162,31.39983948467465,0.9974544110894203,False
51,source_localization_stage4.0.wave_feature_conv1,102,0,1000,0.005,0.0,0.0,post_relu_mean,879.3514404296875,-879.3514404296875,46.64950180053711,0.0,0.0,794.1170654296875,0.34338015694377916,-0.8281007116883246,47.80990677121708,2.919751055240631,False
51,source_localization_stage4.0.wave_feature_conv1,102,0,1000,0.005,0.0,0.0,post_relu_mean,869.3861694335938,-869.3861694335938,44.163604736328125,0.0,0.0,727.6030464172363,0.29620336647650314,-0.7559472608641389,43.64416143491747,2.6441413557529447,False
51,source_localization_stage4.0.wave_feature_conv1,102,0,1000,0.005,0.0,0.0,post_relu_mean,794.4030151367188,-794.4030151367188,36.35211944580078,0.0,0.0,514.4238662719727,0.1728136005727363,-0.5454755741681017,31.492826571246493,1.8831385785341264,False
51,source_localization_stage4.0.wave_feature_conv1,102,0,1000,0.005,0.0,0.0,post_relu_mean,715.4447021484375,-715.4447021484375,30.24138832092285,0.0,0.0,417.7105598449707,0.10926719939383484,-0.4391201808548632,25.3528140935586,1.4941332924365998,False
51,source_localization_stage4.0.wave_feature_conv1,102,0,1000,0.01,0.0,0.0,post_relu_mean,1824.1031494140625,-1824.1031494140625,96.72522735595703,0.0,0.0,1688.7930297851562,0.44839724181948604,-1.7449230620108767,100.74217632665996,3.396685138940811,False
51,source_localization_stage4.0.wave_feature_conv1,102,0,1000,0.01,0.0,0.0,post_relu_mean,1766.641845703125,-1766.641845703125,88.68106842041016,0.0,0.0,1513.5650825500488,0.32612378702622435,-1.5955743788614247,92.11943446508243,2.8765686535835266,False
51,source_localization_stage4.0.wave_feature_conv1,102,0,1000,0.01,0.0,0.0,post_relu_mean,1589.62548828125,-1589.62548828125,71.43268585205078,0.0,0.0,1046.5421524047852,0.1905423832970899,-1.0948963297751877,63.213934208718065,2.005922694206238,False
51,source_localization_stage4.0.wave_feature_conv1,102,0,1000,0.01,0.0,0.0,post_relu_mean,1463.88330078125,-1463.88330078125,60.781707763671875,0.0,0.0,860.7459602355957,0.12700316398043054,-0.8868899827964449,51.20402351421177,1.5735191422700883,False
51,source_localization_stage4.0.wave_feature_conv1,75,0,1000,0.005,0.0,0.0,post_relu_mean,907.1900634765625,-907.1900634765625,47.91366958618164,0.0,0.0,825.7633895874023,0.3091887908661971,-0.858062430885113,49.5396702902142,2.99091423869133,False
51,source_localization_stage4.0.wave_feature_conv1,75,0,1000,0.005,0.0,0.0,post_relu_mean,916.9107666015625,-916.9107666015625,46.760398864746094,0.0,0.0,773.7372779846191,0.303792571219365,-0.8023324269782769,46.32238381429332,2.8256762504577635,False
51,source_localization_stage4.0.wave_feature_conv1,75,0,1000,0.005,0.0,0.0,post_relu_mean,828.7866821289062,-828.7866821289062,38.36433029174805,0.0,0.0,538.9166831970215,0.1506101406057643,-0.5573421711336239,32.17780294464821,1.9636276429891586,False
51,source_localization_stage4.0.wave_feature_conv1,75,0,1000,0.005,0.0,0.0,post_relu_mean,759.5164794921875,-759.5164794921875,33.57215881347656,0.0,0.0,433.72486114501953,0.09833151629944531,-0.4401400714949513,25.411193447605804,1.5817865055799485,False
51,source_localization_stage4.0.wave_feature_conv1,75,0,1000,0.01,0.0,0.0,post_relu_mean,1795.701904296875,-1795.701904296875,94.63948822021484,0.0,0.0,1667.5494003295898,0.3034191676651613,-1.721868851347748,99.41091233960191,3.1234158492088318,False
51,source_localization_stage4.0.wave_feature_conv1,75,0,1000,0.01,0.0,0.0,post_relu_mean,1824.8892822265625,-1824.8892822265625,92.7681655883789,0.0,0.0,1566.6963844299316,0.29416729451809853,-1.6688981846433362,96.35286909215685,2.973287003040314,False
51,source_localization_stage4.0.wave_feature_conv1,75,0,1000,0.01,0.0,0.0,post_relu_mean,1680.026123046875,-1680.026123046875,77.04569244384766,0.0,0.0,1100.0458335876465,0.16710984376806506,-1.1416445486820763,65.91224174412768,2.071530542373657,False
51,source_localization_stage4.0.wave_feature_conv1,75,0,1000,0.01,0.0,0.0,post_relu_mean,1581.2642822265625,-1581.2642822265625,69.12517547607422,0.0,0.0,899.9424819946289,0.13118922124660404,-0.9176471229255097,52.97983816705957,1.741392259001732,False
51,source_localization_stage4.0.wave_feature_conv1,81,0,1000,0.005,0.0,0.0,post_relu_mean,850.8543090820312,-850.8543090820312,44.37551498413086,0.0,0.0,778.3073024749756,0.4614188480671694,-0.8284525832323053,47.83023340211422,3.3926587665081023,False
51,source_localization_stage4.0.wave_feature_conv1,81,0,1000,0.005,0.0,0.0,post_relu_mean,821.3235473632812,-821.3235473632812,41.822052001953125,0.0,0.0,695.8687038421631,0.39558827553981724,-0.7565386413102712,43.67826313139373,3.0054933524131773,False
51,source_localization_stage4.0.wave_feature_conv1,81,0,1000,0.005,0.0,0.0,post_relu_mean,717.440185546875,-717.440185546875,31.87047576904297,0.0,0.0,481.7511901855469,0.1987933593141974,-0.5035773727289959,29.07496255634077,2.0974450862407683,False
51,source_localization_stage4.0.wave_feature_conv1,81,0,1000,0.005,0.0,0.0,post_relu_mean,662.3863525390625,-662.3863525390625,28.02884864807129,0.0,0.0,397.55709075927734,0.13958712157259673,-0.40927348200489677,23.629259608244574,1.765975484251976,False
51,source_localization_stage4.0.wave_feature_conv1,81,0,1000,0.01,0.0,0.0,post_relu_mean,1705.7471923828125,-1705.7471923828125,89.00797271728516,0.0,0.0,1588.5677394866943,0.5013038384432313,-1.6740421837572306,96.65056189077531,3.6340664625167847,False
51,source_localization_stage4.0.wave_feature_conv1,81,0,1000,0.01,0.0,0.0,post_relu_mean,1660.238525390625,-1660.238525390625,82.85460662841797,0.0,0.0,1432.2023220062256,0.4269002925549814,-1.5387862876503553,88.84167812801432,3.256838154792786,False
51,source_localization_stage4.0.wave_feature_conv1,81,0,1000,0.01,0.0,0.0,post_relu_mean,1467.32177734375,-1467.32177734375,65.15544128417969,0.0,0.0,981.9955749511719,0.23645926984897134,-1.0832133906527595,62.53866510466039,2.25527729511261,False
51,source_localization_stage4.0.wave_feature_conv1,81,0,1000,0.01,0.0,0.0,post_relu_mean,1315.679443359375,-1315.679443359375,55.05035400390625,0.0,0.0,780.635124206543,0.13380005964842695,-0.7983052558644286,46.08977542956378,1.7906710022687913,False
53,source_localization_stage4.0.wave_feature_conv2,101,0,1000,0.005,0.0,0.0,post_relu_mean,450.8849182128906,-450.8849182128906,33.77706527709961,0.0,0.0,406.0184202194214,0.28061659457688076,-0.4148806323002312,23.952860577917587,1.907422343492508,False
53,source_localization_stage4.0.wave_feature_conv2,101,0,1000,0.005,0.0,0.0,post_relu_mean,448.786865234375,-448.786865234375,32.656898498535156,0.0,0.0,359.27336072921753,0.24746118521924307,-0.3703261503733028,21.380539247397692,1.7131111109256745,False
