layer_idx,layer_name,filter_idx,sample_idx,iterations,learning_rate,tv_reg,l2_reg,activation_mode,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
51,source_localization_stage4.0.wave_feature_conv1,240,0,1000,0.002,150.0,30.0,post_relu_mean,681.1727294921875,-681.1727294921875,41.64639663696289,0.22940196096897125,0.3112429678440094,559.7102422714233,1.647351962311884,-0.19601554366623677,11.333510445182462,3.6304135906696318,False
53,source_localization_stage4.0.wave_feature_conv2,157,0,1000,0.002,150.0,30.0,post_relu_mean,41.61228942871094,-41.61228942871094,4.294524192810059,0.117483951151371,0.16569852828979492,210.01904678344727,0.6649076998475977,-0.08580932280722796,4.957858885304437,2.333820207118988,False
56,source_localization_stage4.0.skip_connection.0,121,0,1000,0.002,150.0,30.0,post_relu_mean,13.505117416381836,-13.505117416381836,2.3604791164398193,0.07297873497009277,0.08467739075422287,302.6179389953613,0.5518212901010916,-0.12040488815679556,6.965071035675063,2.729847557544708,False
59,source_localization_stage4.1.wave_feature_conv1,123,0,1000,0.002,150.0,30.0,post_relu_mean,250.27456665039062,-250.27456665039062,14.403458595275879,0.1916394829750061,0.3676772117614746,264.7159185409546,0.9106295539599646,-0.09010071123155075,5.2094903287636525,2.1508501982688903,False
61,source_localization_stage4.1.wave_feature_conv2,243,0,1000,0.002,150.0,30.0,post_relu_mean,22.76824378967285,-22.76824378967285,3.1236913204193115,0.13762590289115906,0.20388922095298767,220.18560791015625,0.9680258689438874,-0.08427925119018784,4.868924624129938,2.37898864030838,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.002,150.0,30.0,post_relu_mean,41.169105529785156,-41.169105529785156,6.029236793518066,0.11584192514419556,0.0713457465171814,480.52339935302734,1.228817571993699,-0.2083780907522414,12.045808426815661,4.313102638721466,False
53,source_localization_stage4.0.wave_feature_conv2,157,1,1000,0.002,150.0,30.0,post_relu_mean,43.4884033203125,-43.4884033203125,4.048537254333496,0.10513696074485779,0.12479713559150696,203.1815528869629,0.5740997431752722,-0.08749275954265193,5.056143029916402,2.2991267812252043,False
56,source_localization_stage4.0.skip_connection.0,157,1,1000,0.002,150.0,30.0,post_relu_mean,15.18862247467041,-15.18862247467041,2.863337755203247,0.08122368156909943,0.06192021444439888,325.9972953796387,0.6575377610500096,-0.13926369047268627,8.051874068435986,3.0126712036132814,False
59,source_localization_stage4.1.wave_feature_conv1,90,1,1000,0.002,150.0,30.0,post_relu_mean,29.999116897583008,-29.999116897583008,4.161871910095215,0.1386309266090393,0.14397777616977692,270.91601943969727,1.174107992693211,-0.1200657460656106,6.936484311014121,2.9669257795810697,False
61,source_localization_stage4.1.wave_feature_conv2,243,1,1000,0.002,150.0,30.0,post_relu_mean,24.890827178955078,-24.890827178955078,3.1404435634613037,0.13733750581741333,0.1909431666135788,217.82930755615234,1.2242178512285435,-0.0865950736521709,5.0018422980646555,2.301899584531784,False
51,source_localization_stage4.0.wave_feature_conv1,146,2,1000,0.002,150.0,30.0,post_relu_mean,31.135025024414062,-31.135025024414062,4.247100830078125,0.10258883982896805,0.05740882828831673,468.23412322998047,1.3142378128989967,-0.1877483565278219,10.854044023740625,3.7312834310531615,False
53,source_localization_stage4.0.wave_feature_conv2,157,2,1000,0.002,150.0,30.0,post_relu_mean,36.308349609375,-36.308349609375,3.145838975906372,0.09391896426677704,0.10763330012559891,197.44938468933105,0.6932164227065599,-0.07402189654598695,4.27709508247276,2.0596042227745057,False
56,source_localization_stage4.0.skip_connection.0,157,2,1000,0.002,150.0,30.0,post_relu_mean,11.920989036560059,-11.920989036560059,1.990034818649292,0.06746602058410645,0.04998773708939552,305.8048725128174,0.5220479278320629,-0.12535091459371142,7.250429923906628,2.748162841796875,False
59,source_localization_stage4.1.wave_feature_conv1,138,2,1000,0.002,150.0,30.0,post_relu_mean,13.358482360839844,-13.358482360839844,2.135678768157959,0.09364514797925949,0.08087687194347382,249.27398681640625,0.9858825712903712,-0.1037175223203822,5.993303448258918,2.618753105401993,False
61,source_localization_stage4.1.wave_feature_conv2,243,2,1000,0.002,150.0,30.0,post_relu_mean,11.988860130310059,-11.988860130310059,1.5937408208847046,0.08815553039312363,0.09850892424583435,183.8921718597412,0.7223233656459448,-0.07272143965140114,4.201422457390062,2.142710999250412,False
51,source_localization_stage4.0.wave_feature_conv1,240,3,1000,0.002,150.0,30.0,post_relu_mean,513.7280883789062,-513.7280883789062,32.08401870727539,0.21103446185588837,0.23836131393909454,487.0787272453308,1.3273930096965336,-0.1935000177997271,11.179476354685905,3.365276997089386,False
53,source_localization_stage4.0.wave_feature_conv2,157,3,1000,0.002,150.0,30.0,post_relu_mean,46.932125091552734,-46.932125091552734,4.505251407623291,0.1228865385055542,0.16702991724014282,204.16110610961914,0.6659930195076268,-0.0849690386289275,4.908522476801965,2.2608845698833466,False
56,source_localization_stage4.0.skip_connection.0,121,3,1000,0.002,150.0,30.0,post_relu_mean,16.082521438598633,-16.082521438598633,2.4930760860443115,0.07143624126911163,0.07138309627771378,285.15773010253906,0.5034923601235097,-0.10977632007156843,6.348786916242657,2.5493729317188265,False
59,source_localization_stage4.1.wave_feature_conv1,123,3,1000,0.002,150.0,30.0,post_relu_mean,196.04905700683594,-196.04905700683594,11.315167427062988,0.16940398514270782,0.29622915387153625,217.63719081878662,0.5425464580745818,-0.07261145096694968,4.1978868315422835,2.0572981894016267,False
61,source_localization_stage4.1.wave_feature_conv2,18,3,1000,0.002,150.0,30.0,post_relu_mean,23.894229888916016,-23.894229888916016,2.8240692615509033,0.10472778230905533,0.13604450225830078,165.50405883789062,0.39513398896645974,-0.07772386442610894,4.489700716478828,2.126440228223801,False
51,source_localization_stage4.0.wave_feature_conv1,240,4,1000,0.002,150.0,30.0,post_relu_mean,810.2097778320312,-810.2097778320312,49.515159606933594,0.2543175518512726,0.3397669494152069,528.3818016052246,1.4756387293721247,-0.21739517479140288,12.572856543474703,3.5927126741409303,False
53,source_localization_stage4.0.wave_feature_conv2,157,4,1000,0.002,150.0,30.0,post_relu_mean,48.67583465576172,-48.67583465576172,4.781571865081787,0.133970245718956,0.18469902873039246,205.1685333251953,0.6445805276047797,-0.08656150714871692,5.00114205207902,2.4331102561950684,False
56,source_localization_stage4.0.skip_connection.0,157,4,1000,0.002,150.0,30.0,post_relu_mean,16.804237365722656,-16.804237365722656,2.627657890319824,0.08022059500217438,0.094964399933815,287.201717376709,0.5569972164414733,-0.1093776740532863,6.327523775554042,2.6091467797756196,False
59,source_localization_stage4.1.wave_feature_conv1,123,4,1000,0.002,150.0,30.0,post_relu_mean,269.88433837890625,-269.88433837890625,16.146080017089844,0.18436482548713684,0.2975013256072998,216.3430576324463,0.477423697473096,-0.08647840505814705,5.0015221505093415,2.181384801864624,False
