layer_idx,layer_name,filter_idx,sample_idx,iterations,learning_rate,tv_reg,l2_reg,activation_mode,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
8,wave_feature_stage1.0.wave_feature_conv1,21,0,1000,0.002,150.0,30.0,post_relu_mean,103.60004425048828,-103.60004425048828,4.927703857421875,0.3133518695831299,0.24077829718589783,243.00395011901855,0.7017045069495041,-0.06958956776024353,4.02312836487397,1.8527442473173141,False
8,wave_feature_stage1.0.wave_feature_conv1,15,0,1000,0.002,150.0,30.0,post_relu_mean,27.105745315551758,-27.105745315551758,2.5011982917785645,0.12391428649425507,0.09878818690776825,243.77926063537598,0.4964508489190658,-0.10446845112635159,6.035972894844447,2.2216901350021363,False
8,wave_feature_stage1.0.wave_feature_conv1,24,0,1000,0.002,150.0,30.0,post_relu_mean,19.21407127380371,-19.21407127380371,2.455416202545166,0.10369215160608292,0.09187030047178268,294.31932830810547,0.592165395143465,-0.11422223059581928,6.601042598659562,2.333210982084274,False
10,wave_feature_stage1.0.wave_feature_conv2,5,0,1000,0.002,150.0,30.0,post_relu_mean,13.780823707580566,-13.780823707580566,1.454834222793579,0.0713658481836319,0.10110606253147125,168.5548610687256,0.19459370068835438,-0.0654822448828318,3.7872066854870683,2.009681775569916,False
10,wave_feature_stage1.0.wave_feature_conv2,27,0,1000,0.002,150.0,30.0,post_relu_mean,5.810928821563721,-5.810928821563721,1.3764770030975342,0.061857566237449646,0.08670802414417267,216.9903335571289,0.293079171419219,-0.09056587614641536,5.239159934077959,2.2213907086849214,False
10,wave_feature_stage1.0.wave_feature_conv2,19,0,1000,0.002,150.0,30.0,post_relu_mean,5.488628387451172,-5.488628387451172,1.339087963104248,0.05704216659069061,0.08588847517967224,229.59554862976074,0.33923611871727366,-0.08171346095500076,4.726890673060854,2.159810518026352,False
14,wave_feature_stage1.1.wave_feature_conv1,18,0,1000,0.002,150.0,30.0,post_relu_mean,39.803829193115234,-39.803829193115234,2.918501853942871,0.15785063803195953,0.14316287636756897,208.27923965454102,0.5325235469019471,-0.07716551098687288,4.458502694566664,2.0587626671791077,False
14,wave_feature_stage1.1.wave_feature_conv1,2,0,1000,0.002,150.0,30.0,post_relu_mean,36.82662582397461,-36.82662582397461,2.699115514755249,0.16380253434181213,0.15036651492118835,262.007999420166,0.6527680093254706,-0.08678641468695562,5.01689965925673,2.0489351481199263,False
14,wave_feature_stage1.1.wave_feature_conv1,16,0,1000,0.002,150.0,30.0,post_relu_mean,12.266181945800781,-12.266181945800781,1.9653514623641968,0.08019410073757172,0.07806673645973206,278.58303451538086,0.5019536929678442,-0.1120309225305706,6.4788804071142225,2.383265264034271,False
16,wave_feature_stage1.1.wave_feature_conv2,11,0,1000,0.002,150.0,30.0,post_relu_mean,5.799790859222412,-5.799790859222412,1.3194152116775513,0.058681584894657135,0.07689296454191208,218.5700225830078,0.2379437513497069,-0.08784520106243013,5.082683660027674,2.2430705106258393,False
16,wave_feature_stage1.1.wave_feature_conv2,22,0,1000,0.002,150.0,30.0,post_relu_mean,5.458459854125977,-5.458459854125977,1.3582518100738525,0.05834086239337921,0.07684459537267685,228.189058303833,0.28662636622182075,-0.09131292253015172,5.282675264722261,2.2728044819831847,False
16,wave_feature_stage1.1.wave_feature_conv2,4,0,1000,0.002,150.0,30.0,post_relu_mean,5.15565824508667,-5.15565824508667,1.34620201587677,0.06364695727825165,0.07597394287586212,227.35963249206543,0.30645179710327825,-0.09260788070013795,5.357673616124753,2.227742391824722,False
21,wave_pattern_stage2.0.wave_feature_conv1,22,0,1000,0.002,150.0,30.0,post_relu_mean,130.9674835205078,-130.9674835205078,7.566045761108398,0.2911151349544525,0.2696746289730072,304.01561737060547,1.3107158193508752,-0.08209029477865547,4.745089404883707,2.081829557418823,False
21,wave_pattern_stage2.0.wave_feature_conv1,24,0,1000,0.002,150.0,30.0,post_relu_mean,58.949039459228516,-58.949039459228516,4.961277484893799,0.15706171095371246,0.14646221697330475,322.49472427368164,1.1898980017719096,-0.11154618969577328,6.445799991419237,2.4189527869224547,False
21,wave_pattern_stage2.0.wave_feature_conv1,2,0,1000,0.002,150.0,30.0,post_relu_mean,16.432374954223633,-16.432374954223633,2.922576665878296,0.07737558335065842,0.08237539231777191,396.64100646972656,0.8137840351930357,-0.14679154405141098,8.494551065679895,2.9927505159378054,False
23,wave_pattern_stage2.0.wave_feature_conv2,37,0,1000,0.002,150.0,30.0,post_relu_mean,21.17343521118164,-21.17343521118164,2.317246437072754,0.07299964129924774,0.09818251430988312,211.11572074890137,0.36754601043586604,-0.08380244538814961,4.845986506272961,2.149684723615646,False
23,wave_pattern_stage2.0.wave_feature_conv2,7,0,1000,0.002,150.0,30.0,post_relu_mean,23.54201889038086,-23.54201889038086,2.5235586166381836,0.091252900660038,0.1154070794582367,242.08829879760742,0.5161807542865349,-0.08867634070784179,5.126315730831548,2.2053499960899354,False
23,wave_pattern_stage2.0.wave_feature_conv2,27,0,1000,0.002,150.0,30.0,post_relu_mean,13.798436164855957,-13.798436164855957,2.1496028900146484,0.07485829293727875,0.10246481001377106,286.1215171813965,0.6026546775893337,-0.10205238298796523,5.903484340416179,2.3725591897964478,False
26,wave_pattern_stage2.0.skip_connection.0,30,0,1000,0.002,150.0,30.0,post_relu_mean,16.19060707092285,-16.19060707092285,2.2874953746795654,0.06691484153270721,0.08280721306800842,286.3262462615967,0.46866729519126216,-0.11192510191573303,6.4780597450912705,2.6613264095783236,False
26,wave_pattern_stage2.0.skip_connection.0,37,0,1000,0.002,150.0,30.0,post_relu_mean,13.905036926269531,-13.905036926269531,2.092989683151245,0.06769062578678131,0.08276669681072235,297.6167297363281,0.4983450943976651,-0.11672978211994213,6.754962849451075,2.6704021656513213,False
